Contract,Test Limit,Mode,Node Difference,Edge Difference,Reduce Combinations
CrowdfundingTime_BaseBalanceFix,500000,epa,0,0,not_reduce_combinations
CrowdfundingTime_BaseBalanceFix,500000,epa,0,5,reduce_combinations
SimpleAuctionTime,500000,epa,0,-1,not_reduce_combinations
SimpleAuctionTime,500000,epa,0,-6,reduce_combinations
SimpleAuctionEnded,500000,epa,-2,-15,not_reduce_combinations
SimpleAuctionEnded,500000,epa,0,-5,reduce_combinations
AuctionEnded,500000,epa,0,-5,not_reduce_combinations
AuctionEnded,500000,epa,0,-2,reduce_combinations
AuctionWithdraw,500000,epa,-1,-12,not_reduce_combinations
AuctionWithdraw,500000,epa,-1,-12,reduce_combinations
