Contract,Test Limit,Mode,Node Difference,Edge Difference,Reduce Combinations
Crowdfunding,1000,states,0,1,not_reduce_combinations
EPXCrowdsale,1000,states,-6,-35,not_reduce_combinations
EscrowVault,1000,states,-2,-9,not_reduce_combinations
RefundEscrow,1000,states,0,-3,not_reduce_combinations
RockPaperScissors,1000,states,-5,-11,not_reduce_combinations
SimpleAuctionHB,1000,states,-4,-15,not_reduce_combinations
Crowdfunding,50000,states,2,3,not_reduce_combinations
EPXCrowdsale,50000,states,-3,-26,not_reduce_combinations
EscrowVault,50000,states,0,0,not_reduce_combinations
RefundEscrow,50000,states,0,0,not_reduce_combinations
RockPaperScissors,50000,states,-3,-9,not_reduce_combinations
SimpleAuctionHB,50000,states,-2,-10,not_reduce_combinations
Crowdfunding,500000,states,2,5,not_reduce_combinations
EPXCrowdsale,500000,states,-3,-22,not_reduce_combinations
EscrowVault,500000,states,0,0,not_reduce_combinations
RefundEscrow,500000,states,0,0,not_reduce_combinations
RockPaperScissors,500000,states,-3,-9,not_reduce_combinations
SimpleAuctionHB,500000,states,0,-4,not_reduce_combinations
